,Auction,Color,IsBadBuy,MMRCurrentAuctionAveragePrice,Size,TopThreeAmericanName,VehBCost,VehicleAge,VehOdo,WarrantyCost,WheelType
6001,MANHEIM,BLUE,False,6343,MEDIUM,GM,7010,4,82263,1113,Covers
6002,MANHEIM,GREY,False,5057,MEDIUM,GM,6610,5,64045,1118,Alloy
6003,MANHEIM,MAROON,True,6773,MEDIUM,OTHER,7360,4,77340,803,Covers
6004,MANHEIM,BLACK,False,3193,MEDIUM,CHRYSLER,5310,7,78647,1689,Covers
6005,MANHEIM,RED,False,5809,COMPACT,GM,6410,3,61714,728,Covers
6006,MANHEIM,GOLD,False,6142,LARGE,GM,6010,4,96683,2351,Alloy
6007,MANHEIM,BLACK,False,6174,MEDIUM,GM,6710,4,70389,1038,Covers
6008,MANHEIM,SILVER,False,5285,LARGE TRUCK,FORD,8725,5,57047,505,Covers
6009,MANHEIM,SILVER,False,5495,COMPACT,GM,5095,3,73634,803,Alloy
6010,MANHEIM,BLUE,False,6069,MEDIUM,GM,6840,3,71600,1272,Covers
6011,MANHEIM,GOLD,False,7334,LARGE,GM,7260,3,77090,1974,Covers
6012,MANHEIM,GOLD,False,9316,MEDIUM,GM,8060,1,86002,1113,Covers
6013,MANHEIM,BLUE,False,4371,MEDIUM,GM,5410,5,61784,1118,Covers
6014,MANHEIM,SILVER,False,11403,MEDIUM,GM,10080,1,58496,837,Special
6015,MANHEIM,SILVER,False,9031,SPECIALTY,CHRYSLER,8960,2,79701,1389,Covers
6016,MANHEIM,MAROON,False,14532,SMALL SUV,FORD,9160,2,91195,1630,Alloy
6017,MANHEIM,SILVER,False,16200,CROSSOVER,FORD,10280,3,92669,2062,Alloy
6018,MANHEIM,SILVER,True,3305,SMALL TRUCK,CHRYSLER,4295,8,77340,1455,Alloy
6019,MANHEIM,RED,False,2916,COMPACT,FORD,4200,6,45595,1134,Alloy
6020,MANHEIM,BLUE,False,8965,CROSSOVER,CHRYSLER,6665,3,70403,1389,Alloy
6021,MANHEIM,GOLD,True,4657,LARGE,GM,7280,5,62435,1703,Alloy
6022,MANHEIM,GREY,False,7196,MEDIUM,GM,6465,2,63524,923,Covers
6023,MANHEIM,SILVER,False,3426,MEDIUM,OTHER,7120,8,73891,869,Alloy
6024,MANHEIM,WHITE,False,4592,LARGE SUV,FORD,8740,7,67792,1223,Alloy
6025,MANHEIM,GREY,False,3688,MEDIUM,FORD,4735,4,75146,920,Special
6026,MANHEIM,SILVER,False,10788,MEDIUM SUV,GM,8580,3,66242,1313,Alloy
6027,MANHEIM,WHITE,False,8500,CROSSOVER,CHRYSLER,9395,3,65000,1606,Alloy
6028,MANHEIM,GREY,False,4817,VAN,FORD,5265,4,78554,1506,Covers
6029,MANHEIM,BLUE,False,9497,LARGE SUV,FORD,8480,5,74310,1389,Alloy
6030,MANHEIM,GOLD,False,1951,VAN,GM,4150,8,74409,4922,Covers
6031,MANHEIM,RED,False,5086,VAN,GM,6970,4,64184,3910,Covers
6032,MANHEIM,SILVER,True,7504,LARGE,GM,7680,3,77014,1974,Covers
6033,MANHEIM,GOLD,False,8500,CROSSOVER,CHRYSLER,6965,3,71081,1857,Alloy
6034,MANHEIM,BLUE,False,2460,MEDIUM,CHRYSLER,4900,8,68829,1515,Alloy
6035,MANHEIM,BLUE,False,3554,VAN,CHRYSLER,4400,6,69349,1711,Covers
6036,MANHEIM,SILVER,False,3679,MEDIUM,CHRYSLER,4600,6,61794,1515,Alloy
6037,MANHEIM,SILVER,False,2044,COMPACT,CHRYSLER,4800,7,61480,930,Alloy
6038,MANHEIM,BLUE,False,4478,MEDIUM,CHRYSLER,4435,4,80874,1373,Alloy
6039,MANHEIM,BLUE,False,6952,CROSSOVER,CHRYSLER,8140,4,59705,1086,Alloy
6040,MANHEIM,WHITE,False,9119,CROSSOVER,CHRYSLER,8280,4,83733,2022,Alloy
6041,MANHEIM,GREEN,False,4815,MEDIUM SUV,GM,6420,7,72349,2274,Alloy
6042,MANHEIM,SILVER,False,2684,MEDIUM,GM,4050,8,60280,2003,Alloy
6043,MANHEIM,BEIGE,False,9210,SPECIALTY,CHRYSLER,8880,3,71622,1389,Covers
6044,MANHEIM,WHITE,False,3543,VAN,FORD,4535,5,86937,1633,Covers
6045,MANHEIM,SILVER,False,5378,MEDIUM,FORD,5035,2,86225,983,Alloy
6046,MANHEIM,BLACK,False,8341,LARGE,GM,7380,2,63398,1703,Alloy
6047,MANHEIM,GREY,False,6010,LARGE,FORD,5865,3,85842,1633,Alloy
6048,MANHEIM,GREEN,False,8518,SMALL SUV,FORD,7880,3,85279,983,Covers
6049,MANHEIM,SILVER,False,7461,MEDIUM,CHRYSLER,6865,2,66849,825,Alloy
6050,MANHEIM,SILVER,False,6722,LARGE,FORD,7380,3,70555,1506,Alloy
6051,MANHEIM,BLUE,False,6801,LARGE,GM,7100,2,72662,1974,Covers
6052,MANHEIM,BLUE,False,3640,MEDIUM,CHRYSLER,5800,4,43909,975,Covers
6053,MANHEIM,GOLD,True,2889,COMPACT,FORD,4100,6,71648,1455,Alloy
6054,MANHEIM,SILVER,False,10278,MEDIUM SUV,CHRYSLER,9080,3,71200,1623,Alloy
6055,MANHEIM,BEIGE,True,2122,COMPACT,CHRYSLER,4100,6,62602,930,unkwnWheel
6056,MANHEIM,BLUE,False,6238,VAN,GM,6465,2,76776,2091,Covers
6057,MANHEIM,GOLD,False,7269,MEDIUM,CHRYSLER,6765,1,40583,693,Covers
6058,MANHEIM,WHITE,True,2654,MEDIUM,GM,4100,7,66249,2198,Alloy
6059,MANHEIM,WHITE,False,7065,MEDIUM,CHRYSLER,6265,2,71807,920,Covers
6060,MANHEIM,SILVER,False,10464,CROSSOVER,FORD,8380,2,85719,1633,Alloy
6061,MANHEIM,SILVER,False,9045,LARGE,FORD,7580,2,73347,1506,Alloy
6062,MANHEIM,SILVER,False,10934,VAN,CHRYSLER,8790,2,95217,1918,Covers
6063,MANHEIM,BLUE,True,6331,VAN,CHRYSLER,6725,5,71665,1623,Alloy
6064,MANHEIM,RED,False,2678,MEDIUM,OTHER,6130,7,48879,782,Alloy
6065,MANHEIM,BLUE,False,5952,CROSSOVER,CHRYSLER,9050,6,53671,1086,Alloy
6066,MANHEIM,RED,False,3958,MEDIUM,FORD,4905,5,88590,983,Alloy
